ticker,sec_symbol,company,sec_cik,sec_title,event_date,filing_date,form_type,items,item_103_detected,detection_source,accession_number,primary_document,filing_url,text_snippet,manual_validation_status,primary_label_b_event,manual_review_decision,event_family_id,review_note
BBBY,BBBY,Bed Bath & Beyond,886158,Bed Bath & Beyond,2023-04-23,2023-04-24,8-K,"1.01,1.03,2.03,2.04,5.02,7.01,8.01,9.01",1,SEC_submissions_items_metadata_plus_primary_document_fetch,0001193125-23-111754,d465247d8k.htm,https://www.sec.gov/Archives/edgar/data/886158/000119312523111754/d465247d8k.htm,"Item 1.03 of this Current Report on Form <span style=""white-space:nowrap"">8-K</span> regarding the DIP Credit Agreements (each defined below) is incorporated herein by reference. </p> <p style=""font-size:18pt;margin-top:0pt;margin-bottom:0pt"">&#160;</p> <table style=""BORDER-COLLAPSE:COLLAPSE; font-family:Times New Roman; font-size:10pt;border:0;width:100%"" cellpadding=""0"" cellspacing=""0""> <tr style=""page-break-inside:avoid""> <td style=""width:11%;vertical-align:top"" align=""left""><span style=""font-weight:bold"">Item&#160;1.03.</span></td> <td align=""left"" style=""vertical-align:top""> <p style="" margin-top:0pt ; margin-bottom:0pt; font-size:10pt; font-family:Times New Roman;font-weight:bold;text-align:left"">Bankruptcy or Receivership. </p></td></tr></table> <p style=""margin-top:6pt; margin-bottom:0pt; font-size:10pt; font-family:Times New Roman;font-weight:bold""><span style=""font-style:italic",reviewed_primary,1,primary_chapter_11_old_bbb_entity,BBBY_2023_CH11,Old Bed Bath & Beyond bankruptcy entity CIK 0000886158; initial Chapter 11 filing.
BBBY,BBBY,Bed Bath & Beyond,886158,Bed Bath & Beyond,2023-06-15,2023-06-22,8-K,"1.01,1.03",1,SEC_submissions_items_metadata_plus_primary_document_fetch,0001193125-23-172557,d444406d8k.htm,https://www.sec.gov/Archives/edgar/data/886158/000119312523172557/d444406d8k.htm,"Item 1.03 of this Current Report on Form <span style=""white-space:nowrap"">8-K</span> regarding the DIP Credit Agreement (defined below), which the Company filed in the Current Report <span style=""white-space:nowrap"">on&#160;Form&#160;8-K</span> filed with the SEC on April&#160;24, 2023, is incorporated herein by reference.</p> <p style=""margin-top:18pt; margin-bottom:0pt; font-size:10pt; font-family:Times New Roman;font-weight:bold""><span style=""font-style:italic"">Notice of Successful Bidder </span></p> <p style=""margin-top:6pt; margin-bottom:0pt; text-indent:4%; font-size:10pt; font-family:Times New Roman"">As previously disclosed, the Company Parties, entered into an Asset Purchase Agreement (the &#8220;Purchase Agreement&#8221;) with Overstock.com, Inc., a Delaware corporation (&#8220;Overstock&#8221;), under which, subject to the terms and conditions set forth in the Purchase Agreemen",reviewed_excluded,0,subsequent_bbb_bankruptcy_update,BBBY_2023_CH11,Subsequent bankruptcy/order/effective-date disclosure; retained as evidence but excluded as a new primary event.
BBBY,BBBY,Bed Bath & Beyond,886158,Bed Bath & Beyond,2023-09-14,2023-09-20,8-K,"1.03,9.01",1,SEC_submissions_items_metadata_plus_primary_document_fetch,0001193125-23-238592,d521320d8k.htm,https://www.sec.gov/Archives/edgar/data/886158/000119312523238592/d521320d8k.htm,"Item 1.03.</p> <p style=""margin-top:18pt; margin-bottom:0pt; font-size:10pt; font-family:Times New Roman;font-weight:bold""><span style=""font-style:italic"">Summary of Plan </span></p> <p style=""margin-top:6pt; margin-bottom:0pt; text-indent:4%; font-size:10pt; font-family:Times New Roman"">This summary is qualified in its entirety by referenced to the Plan, and capitalized terms used but not defined in the following summary shall have the meanings ascribed to them in the Plan. The Plan, as confirmed by the Court, contemplates, among other things, an orderly wind-down and liquidation of the Company Parties&#x2019; businesses and the vesting of the assets of the Company Parties&#x2019; bankruptcy estates with the Wind-Down Debtors.</p> <p style=""margin-top:12pt; margin-bottom:0pt; text-indent:4%; font-size:10pt; font-family:Times New Roman"">In the Company&#x2019;s most recent monthly operati",reviewed_excluded,0,subsequent_bbb_bankruptcy_update,BBBY_2023_CH11,Subsequent bankruptcy/order/effective-date disclosure; retained as evidence but excluded as a new primary event.
BBBY,BBBY,Bed Bath & Beyond,886158,Bed Bath & Beyond,2023-09-21,2023-09-29,8-K,"1.03,3.03,5.02,5.03,7.01,9.01",1,SEC_submissions_items_metadata_plus_primary_document_fetch,0001193125-23-247428,d579010d8k.htm,https://www.sec.gov/Archives/edgar/data/886158/000119312523247428/d579010d8k.htm,"Item 1.03. Capitalized terms used in this Current Report on Form <span style=""white-space:nowrap"">8-K</span> and not otherwise defined will have the meanings given to them in the Confirmation Order.</p><p style=""margin-top:12pt; margin-bottom:0pt; text-indent:4%; font-size:10pt; font-family:Times New Roman"">The Confirmed Plan became effective (the &#8220;Effective Date&#8221;) on Friday, September&#160;29, 2023. On September&#160;29, 2023, the Company Parties filed a Notice of (A) Entry of the Order (I) Approving the Disclosure Statement on a Final Basis and (II) Confirming the Second Amended Joint Chapter 11 Plan of Bed Bath &amp; Beyond Inc. and its Debtor Affiliates and (B) Occurrence of Effective Date (the &#8220;Notice of Effective Date&#8221;) with the Bankruptcy Court. A copy of the Notice of Effective Date is attached hereto as Exhibit 99.1 and is incorporated herein by reference",reviewed_excluded,0,subsequent_bbb_bankruptcy_update,BBBY_2023_CH11,Subsequent bankruptcy/order/effective-date disclosure; retained as evidence but excluded as a new primary event.
CHK,EXE,Chesapeake Energy / Expand Energy,895126,EXPAND ENERGY Corp,2020-06-28,2020-06-29,8-K,"1.01,1.03,2.04,7.01,8.01,9.01",1,SEC_submissions_items_metadata_plus_primary_document_fetch,0001104659-20-077745,tm2023599-1_8k.htm,https://www.sec.gov/Archives/edgar/data/895126/000110465920077745/tm2023599-1_8k.htm,"Item 1.03 Bankruptcy or Receivership.</b></p> <p style=""font: 10pt Times New Roman, Times, Serif; margin: 0pt 0"">&#160;</p> <p style=""font: 10pt Times New Roman, Times, Serif; margin: 0pt 0""><i>Chapter 11 Filing</i></p> <p style=""font: 10pt Times New Roman, Times, Serif; margin: 0pt 0"">&#160;</p> <p style=""font: 10pt Times New Roman, Times, Serif; margin: 0pt 0"">On June 28, 2020, the Company filed voluntary petitions for reorganization under Chapter 11 of the Bankruptcy Code (the &#8220;Chapter 11 Cases&#8221;) in the United States Bankruptcy Court for the Southern District of Texas (the &#8220;Bankruptcy Court&#8221;). The Company has filed a motion with the Bankruptcy Court seeking joint administration of the Chapter 11 Cases under the caption <i>In re Chesapeake Energy Corporation</i>.</p> <p style=""font: 10pt Times New Roman, Times, Serif; margin: 0pt 0"">&#160;</p> <p style=""font: 10",reviewed_primary,1,primary_chapter_11,CHK_2020_CH11,Initial Chesapeake Chapter 11 filing; successor mapping limitation disclosed.
CHK,EXE,Chesapeake Energy / Expand Energy,895126,EXPAND ENERGY Corp,2021-01-16,2021-01-19,8-K,"1.03,9.01",1,SEC_submissions_items_metadata_plus_primary_document_fetch,0000895126-21-000016,chk-20210116.htm,https://www.sec.gov/Archives/edgar/data/895126/000089512621000016/chk-20210116.htm,"Item 1.03 Bankruptcy or Receivership.</span></div><div><span><br/></span></div><div style=""margin-bottom:12pt;text-align:justify""><span style=""color:#000000;font-family:'Arial',sans-serif;font-size:10pt;font-weight:400;line-height:120%"">As previously disclosed on June 28, 2020, Chesapeake Energy Corporation (&#8220;Chesapeake&#8221;) and certain of its subsidiaries (together with Chesapeake, the &#8220;Company&#8221;) filed voluntary petitions for reorganization under Chapter 11 of the Bankruptcy Code (the &#8220;Chapter 11 Cases&#8221;) in the United States Bankruptcy Court for the Southern District of Texas (the &#8220;Bankruptcy Court&#8221;). The Company&#8217;s Chapter 11 Cases were jointly administered under the caption </span><span style=""color:#000000;font-family:'Arial',sans-serif;font-size:10pt;font-style:italic;font-weight:400;line-height:120%"">In re Chesapeake Energy Corporat",reviewed_excluded,0,subsequent_emergence_or_update,CHK_2020_CH11,Subsequent disclosure referring back to the 2020 Chapter 11 case; excluded as a new event.
AAL,AAL,American Airlines,6201,American Airlines Group Inc.,2011-11-28,2011-11-29,8-K,"1.03,2.04,5.02,8.01,9.01",1,SEC_submissions_items_metadata_plus_primary_document_fetch,0000909518-11-000395,mm11-2911_amr8k.htm,https://www.sec.gov/Archives/edgar/data/6201/000090951811000395/mm11-2911_amr8k.htm,"Item 1.03.</font></font></div> </td> <td align=""left"" valign=""top"" width=""85%""> <div><font style=""DISPLAY: inline; FONT-FAMILY: times new roman; FONT-SIZE: 12pt; FONT-WEIGHT: bold; TEXT-DECORATION: underline""><font style=""BACKGROUND-COLOR: #ffffff; DISPLAY: inline"">Bankruptcy or Receivership</font></font></div> </td> </tr></table> </div> <div style=""TEXT-INDENT: 0pt; DISPLAY: block; MARGIN-LEFT: 0pt; MARGIN-RIGHT: 0pt""> <div style=""LINE-HEIGHT: 12.55pt; TEXT-INDENT: 0pt; DISPLAY: block; MARGIN-LEFT: 0pt; MARGIN-RIGHT: 0pt"" align=""justify""><font style=""DISPLAY: inline; FONT-FAMILY: Times New Roman; FONT-SIZE: 12pt"">&#160;</font></div> <div style=""TEXT-ALIGN: justify""><font style=""DISPLAY: inline; FONT-FAMILY: Times New Roman; FONT-SIZE: 12pt"">On November 29, 2011, AMR Corporation (&#8220;AMR&#8221;) and certain of its subsidiaries, including American Airlines, Inc. (&#8220;American Airlin",reviewed_primary,1,primary_amr_chapter_11,AAL_AMR_2011_CH11,AMR/American Airlines initial Chapter 11 filing.
AAL,AAL,American Airlines,6201,American Airlines Group Inc.,2013-10-21,2013-10-23,8-K,"1.03,9.01",1,SEC_submissions_items_metadata_plus_primary_document_fetch,0001193125-13-408263,d605556d8k.htm,https://www.sec.gov/Archives/edgar/data/6201/000119312513408263/d605556d8k.htm,Item 1.03 metadata match; text snippet not found in first pass,reviewed_excluded,0,subsequent_or_metadata_only_aal,AAL_AMR_2011_CH11,Later metadata hit/subsequent disclosure; excluded as a new primary event.
T,T,AT&T,732717,AT&T INC.,2012-01-11,2012-01-13,8-K,1.03,1,SEC_submissions_items_metadata_plus_primary_document_fetch,0000732717-12-000006,creditfacility_8k.htm,https://www.sec.gov/Archives/edgar/data/732717/000073271712000006/creditfacility_8k.htm,"Item 1.03&#160;&#160;Entry into a Material Definitive Agreement.</font></font></div> <div style=""TEXT-INDENT: 0pt; DISPLAY: block; MARGIN-LEFT: 0pt; MARGIN-RIGHT: 0pt"" align=""left""><font style=""DISPLAY: inline; FONT-FAMILY: Times New Roman; FONT-SIZE: 10pt; FONT-WEIGHT: bold"">&#160;</font></div> <div style=""TEXT-INDENT: 0pt; DISPLAY: block; MARGIN-LEFT: 0pt; MARGIN-RIGHT: 0pt"" align=""left""><font style=""DISPLAY: inline; FONT-FAMILY: Times New Roman; FONT-SIZE: 10pt; FONT-WEIGHT: bold""><font style=""DISPLAY: inline; FONT-FAMILY: Times New Roman; FONT-SIZE: 10pt""><font style=""FONT-WEIGHT: normal"">On January 11, 2012, AT&amp;T Inc. (&#8220;AT&amp;T&#8221;) provided irrevocable notice to Citibank, N.A., as agent under AT&amp;T&#8217;s $5 billion, 364-day revolving credit facility dated as of December 19, 2011 (the &#8220;Agreement&#8221;), pursuant to section 2.04 of the Agreement, to permanen",reviewed_excluded,0,false_positive_not_bankruptcy,T_2012_FALSE_POSITIVE,"Manual review shows the text concerns a credit facility/material agreement, not AT&T parent bankruptcy/receivership."
