date,close,adj_close
2009-06-01,5.320000171661377,5.188528537750244
2009-06-02,5.070000171661377,4.944705486297607
2009-06-03,4.96999979019165,4.847177028656006
2009-06-04,5.5,5.364080429077148
2009-06-05,5.300000190734863,5.169023036956787
2009-06-08,5.300000190734863,5.169023036956787
2009-06-09,5.579999923706055,5.442102909088135
2009-06-10,5.860000133514404,5.715183258056641
2009-06-11,5.590000152587891,5.451855182647705
2009-06-12,5.46999979019165,5.334820747375488
2009-06-15,5.320000171661377,5.188528537750244
2009-06-16,5.199999809265137,5.071492671966553
2009-06-17,5.300000190734863,5.169023036956787
2009-06-18,5.260000228881836,5.130009174346924
2009-06-19,5.329999923706055,5.198279857635498
2009-06-22,5.019999980926514,4.895941257476807
2009-06-23,4.849999904632568,4.730142593383789
2009-06-24,5.139999866485596,5.012975692749023
2009-06-25,5.300000190734863,5.169023036956787
2009-06-26,5.099999904632568,4.973964214324951
2009-06-29,5.110000133514404,4.983717441558838
2009-06-30,5.059999942779541,4.934953212738037
2009-07-01,5.179999828338623,5.051987648010254
2009-07-02,4.960000038146973,4.837424278259277
2009-07-06,4.889999866485596,4.7691545486450195
2009-07-07,4.699999809265137,4.5838494300842285
2009-07-08,4.71999979019165,4.603354454040527
2009-07-09,5.039999961853027,4.91544771194458
2009-07-10,5.079999923706055,4.954457759857178
2009-07-13,5.210000038146973,5.0812458992004395
2009-07-14,5.320000171661377,5.188528537750244
2009-07-15,5.579999923706055,5.442102909088135
2009-07-16,5.75,5.607901096343994
2009-07-17,5.75,5.607901096343994
2009-07-20,5.889999866485596,5.74444055557251
2009-07-21,5.849999904632568,5.705429553985596
2009-07-22,6.159999847412109,6.007768154144287
2009-07-23,6.199999809265137,6.046780109405518
2009-07-24,6.269999980926514,6.115050315856934
2009-07-27,6.329999923706055,6.173567771911621
2009-07-28,6.400000095367432,6.241837024688721
2009-07-29,6.179999828338623,6.027274131774902
2009-07-30,6.159999847412109,6.007768154144287
2009-07-31,6.389999866485596,6.232084274291992
2009-08-03,6.769999980926514,6.602694034576416
2009-08-04,6.760000228881836,6.592941761016846
2009-08-05,6.739999771118164,6.573434829711914
2009-08-06,6.789999961853027,6.622200012207031
2009-08-07,6.829999923706055,6.661211013793945
2009-08-10,6.630000114440918,6.466154098510742
2009-08-11,6.800000190734863,6.631953239440918
2009-08-12,6.760000228881836,6.592941761016846
2009-08-13,7.010000228881836,6.83676290512085
2009-08-14,6.71999979019165,6.553929805755615
2009-08-17,6.570000171661377,6.407636642456055
2009-08-18,6.789999961853027,6.622200012207031
2009-08-19,6.679999828338623,6.514917850494385
2009-08-20,6.789999961853027,6.622200012207031
2009-08-21,7.139999866485596,6.963550090789795
2009-08-24,7.090000152587891,6.914784908294678
2009-08-25,7.199999809265137,7.022067546844482
2009-08-26,7.25,7.070831298828125
2009-08-27,7.199999809265137,7.022067546844482
2009-08-28,7.559999942779541,7.373169898986816
2009-08-31,7.369999885559082,7.187865734100342
2009-09-01,7.019999980926514,6.846515655517578
2009-09-02,6.989999771118164,6.817256927490234
2009-09-03,7.170000076293945,6.992810249328613
2009-09-04,7.349999904632568,7.168359756469727
2009-09-08,7.75,7.558474540710449
2009-09-09,7.800000190734863,7.607239723205566
2009-09-10,8.130000114440918,7.9290852546691895
2009-09-11,7.869999885559082,7.675508975982666
2009-09-14,7.920000076293945,7.724274158477783
2009-09-15,8.149999618530273,7.948588848114014
