date,close,adj_close
2009-06-01,4.96999979019165,4.96999979019165
2009-06-02,5.269999980926514,5.269999980926514
2009-06-03,5.289999961853027,5.289999961853027
2009-06-04,5.119999885559082,5.119999885559082
2009-06-05,5.039999961853027,5.039999961853027
2009-06-08,4.650000095367432,4.650000095367432
2009-06-09,4.659999847412109,4.659999847412109
2009-06-10,4.369999885559082,4.369999885559082
2009-06-11,4.119999885559082,4.119999885559082
2009-06-12,3.8299999237060547,3.8299999237060547
2009-06-15,3.7300000190734863,3.7300000190734863
2009-06-16,3.819999933242798,3.819999933242798
2009-06-17,3.9800000190734863,3.9800000190734863
2009-06-18,3.819999933242798,3.819999933242798
2009-06-19,3.8499999046325684,3.8499999046325684
2009-06-22,3.569999933242798,3.569999933242798
2009-06-23,3.200000047683716,3.200000047683716
2009-06-24,3.1700000762939453,3.1700000762939453
2009-06-25,3.569999933242798,3.569999933242798
2009-06-26,3.4800000190734863,3.4800000190734863
2009-06-29,3.4700000286102295,3.4700000286102295
2009-06-30,3.190000057220459,3.190000057220459
2009-07-01,3.2899999618530273,3.2899999618530273
2009-07-02,3.309999942779541,3.309999942779541
2009-07-06,3.3399999141693115,3.3399999141693115
2009-07-07,3.259999990463257,3.259999990463257
2009-07-08,3.25,3.25
2009-07-09,3.180000066757202,3.180000066757202
2009-07-10,3.259999990463257,3.259999990463257
2009-07-13,3.309999942779541,3.309999942779541
2009-07-14,3.2699999809265137,3.2699999809265137
2009-07-15,3.4700000286102295,3.4700000286102295
2009-07-16,3.490000009536743,3.490000009536743
2009-07-17,3.390000104904175,3.390000104904175
2009-07-20,3.509999990463257,3.509999990463257
2009-07-21,3.7200000286102295,3.7200000286102295
2009-07-22,3.359999895095825,3.359999895095825
2009-07-23,3.440000057220459,3.440000057220459
2009-07-24,3.7899999618530273,3.7899999618530273
2009-07-27,3.7200000286102295,3.7200000286102295
2009-07-28,3.9600000381469727,3.9600000381469727
2009-07-29,4.159999847412109,4.159999847412109
2009-07-30,4.130000114440918,4.130000114440918
2009-07-31,4.119999885559082,4.119999885559082
2009-08-03,4.210000038146973,4.210000038146973
2009-08-04,5.0,5.0
2009-08-05,5.920000076293945,5.920000076293945
2009-08-06,5.849999904632568,5.849999904632568
2009-08-07,6.039999961853027,6.039999961853027
2009-08-10,5.96999979019165,5.96999979019165
2009-08-11,5.710000038146973,5.710000038146973
2009-08-12,5.829999923706055,5.829999923706055
2009-08-13,6.309999942779541,6.309999942779541
2009-08-14,6.150000095367432,6.150000095367432
2009-08-17,5.630000114440918,5.630000114440918
2009-08-18,5.769999980926514,5.769999980926514
2009-08-19,5.610000133514404,5.610000133514404
2009-08-20,5.789999961853027,5.789999961853027
2009-08-21,6.0,6.0
2009-08-24,6.03000020980835,6.03000020980835
2009-08-25,6.550000190734863,6.550000190734863
2009-08-26,6.760000228881836,6.760000228881836
2009-08-27,6.539999961853027,6.539999961853027
2009-08-28,6.519999980926514,6.519999980926514
2009-08-31,6.230000019073486,6.230000019073486
2009-09-01,5.710000038146973,5.710000038146973
2009-09-02,5.670000076293945,5.670000076293945
2009-09-03,6.179999828338623,6.179999828338623
2009-09-04,6.309999942779541,6.309999942779541
2009-09-08,6.329999923706055,6.329999923706055
2009-09-09,6.449999809265137,6.449999809265137
2009-09-10,7.599999904632568,7.599999904632568
2009-09-11,7.659999847412109,7.659999847412109
2009-09-14,8.430000305175781,8.430000305175781
2009-09-15,8.789999961853027,8.789999961853027
2009-09-16,9.09000015258789,9.09000015258789
2009-09-17,8.600000381469727,8.600000381469727
2009-09-18,8.520000457763672,8.520000457763672
2009-09-21,9.399999618530273,9.399999618530273
2009-09-22,9.050000190734863,9.050000190734863
2009-09-23,8.729999542236328,8.729999542236328
2009-09-24,8.829999923706055,8.829999923706055
2009-09-25,9.300000190734863,9.300000190734863
2009-09-28,9.130000114440918,9.130000114440918
2009-09-29,9.180000305175781,9.180000305175781
2009-09-30,9.220000267028809,9.220000267028809
2009-10-01,7.239999771118164,7.239999771118164
2009-10-02,7.210000038146973,7.210000038146973
2009-10-05,7.300000190734863,7.300000190734863
2009-10-06,7.210000038146973,7.210000038146973
2009-10-07,6.989999771118164,6.989999771118164
2009-10-08,7.21999979019165,7.21999979019165
2009-10-09,7.199999809265137,7.199999809265137
2009-10-12,7.159999847412109,7.159999847412109
2009-10-13,7.28000020980835,7.28000020980835
2009-10-14,7.820000171661377,7.820000171661377
2009-10-15,7.639999866485596,7.639999866485596
2009-10-16,7.429999828338623,7.429999828338623
2009-10-19,7.260000228881836,7.260000228881836
2009-10-20,7.900000095367432,7.900000095367432
2009-10-21,6.920000076293945,6.920000076293945
2009-10-22,7.210000038146973,7.210000038146973
2009-10-23,6.860000133514404,6.860000133514404
2009-10-26,6.659999847412109,6.659999847412109
