target,model_name,split_or_fold,n_obs,n_pos,AUROC,AUPRC,top_decile_capture,top_quintile_capture,brier
label_a_abs,naive_drawdown_baseline,fixed_test_2024_plus,1782,82,0.6399103299856528,0.11363607995948172,0.23170731707317074,0.32926829268292684,0.13383587257979973
label_a_abs,naive_momentum_vol_baseline,fixed_test_2024_plus,1782,82,0.7013199426111908,0.12417500371351772,0.2804878048780488,0.43902439024390244,0.04360350453862499
label_a_abs,macro_only_logit,fixed_test_2024_plus,1782,82,0.5575251076040172,0.05950142627165433,0.12195121951219512,0.24390243902439024,0.063673372039468
label_a_abs,price_relative_logit,fixed_test_2024_plus,1782,82,0.6987374461979914,0.12274123687803083,0.2926829268292683,0.43902439024390244,0.04364369493660164
label_a_abs,price_macro_logit,fixed_test_2024_plus,1782,82,0.7230057388809182,0.14738334807785414,0.36585365853658536,0.45121951219512196,0.08184463198434355
label_a_rel,naive_drawdown_baseline,fixed_test_2024_plus,1782,275,0.5699607890450624,0.21959474739443305,0.17454545454545456,0.2727272727272727,0.17805907925270992
label_a_rel,naive_momentum_vol_baseline,fixed_test_2024_plus,1782,275,0.6449948724135851,0.24217437419074336,0.18545454545454546,0.32727272727272727,0.12900957307256483
label_a_rel,macro_only_logit,fixed_test_2024_plus,1782,275,0.5617638897267299,0.17650510290620086,0.09454545454545454,0.23636363636363636,0.1376958386708166
label_a_rel,price_relative_logit,fixed_test_2024_plus,1782,275,0.6449683296133196,0.2422021453578948,0.18181818181818182,0.3236363636363636,0.12901362179725748
label_a_rel,price_macro_logit,fixed_test_2024_plus,1782,275,0.6570525426796163,0.264707948293788,0.2109090909090909,0.3418181818181818,0.14870363522460472
