target,fold_id,model_name,n_obs,n_pos,AUROC,AUPRC,top_decile_capture,top_quintile_capture,brier
label_a_abs,1,naive_drawdown_baseline,1091,54,0.6338910988650049,0.0873355017553834,0.22641509433962265,0.39622641509433965,0.12262459699655803
label_a_abs,2,naive_drawdown_baseline,1100,12,0.919889502762431,0.12363099912731638,0.7272727272727273,0.9090909090909091,0.062013359350859144
label_a_abs,3,naive_drawdown_baseline,1116,7,0.6606658923732095,0.01759848571599355,0.42857142857142855,0.5714285714285714,0.07384382868712745
label_a_abs,3,naive_momentum_vol_baseline,1116,7,0.9958778822620121,0.4912458573172859,1.0,1.0,0.004217479104498416
label_a_abs,3,macro_only_logit,1116,7,0.5778693803941775,0.010933730155702035,0.14285714285714285,0.42857142857142855,0.00661447138364108
label_a_abs,3,price_relative_logit,1116,7,0.9960066984413243,0.49192612942612945,1.0,1.0,0.004223392931815844
label_a_abs,3,price_macro_logit,1116,7,0.9943320881102666,0.5063725490196078,1.0,1.0,0.006251514939331515
label_a_abs,4,naive_drawdown_baseline,1116,32,0.6504266605166051,0.061185507473654796,0.21875,0.4375,0.07138094156459342
label_a_abs,4,naive_momentum_vol_baseline,1116,32,0.8052928966789668,0.08945192768361583,0.4375,0.46875,0.027644631249973555
label_a_abs,4,macro_only_logit,1116,32,0.37935309040590404,0.022113791692780882,0.0625,0.09375,0.028130545089175008
label_a_abs,4,price_relative_logit,1116,32,0.7990083025830258,0.08741714184449481,0.4375,0.46875,0.027757994751173312
label_a_abs,4,price_macro_logit,1116,32,0.6589598708487084,0.054435557163655654,0.28125,0.46875,0.02883955742748783
label_a_abs,5,naive_drawdown_baseline,1130,69,0.6819287038944982,0.16473935184745053,0.2463768115942029,0.463768115942029,0.10734301656254877
label_a_abs,5,naive_momentum_vol_baseline,1130,69,0.6543184581130735,0.16303875153205216,0.2898550724637681,0.391304347826087,0.05748621003574055
label_a_abs,5,macro_only_logit,1130,69,0.4272015735770192,0.05079648371105049,0.057971014492753624,0.15942028985507245,0.06047161103072227
label_a_abs,5,price_relative_logit,1130,69,0.6495239656326408,0.1587371656453614,0.2898550724637681,0.37681159420289856,0.05752094262981048
label_a_abs,5,price_macro_logit,1130,69,0.56502615798604,0.1561815668100075,0.18840579710144928,0.2898550724637681,0.0587117161676582
label_a_abs,6,naive_drawdown_baseline,1152,6,0.5524745269286754,0.008659723942086629,0.0,0.5,0.09219936046022081
label_a_abs,6,naive_momentum_vol_baseline,1152,6,0.7526178010471204,0.022263856515439464,0.5,0.8333333333333334,0.01476208962989413
label_a_abs,6,macro_only_logit,1152,6,0.3324607329842932,0.004491059460180299,0.0,0.16666666666666666,0.005211617729538436
label_a_abs,6,price_relative_logit,1152,6,0.7520360674810936,0.022430614433706413,0.5,0.8333333333333334,0.014982608594325604
label_a_abs,6,price_macro_logit,1152,6,0.5805700988947062,0.013548345213913657,0.16666666666666666,0.16666666666666666,0.006634215447581221
label_a_abs,7,naive_drawdown_baseline,1162,28,0.7883854728514923,0.12468285378120306,0.4444444444444444,0.7037037037037037,0.07975820374835732
label_a_abs,7,naive_momentum_vol_baseline,1162,28,0.593190980095742,0.2244650023817659,0.32142857142857145,0.39285714285714285,0.021179115016709247
label_a_abs,7,macro_only_logit,1162,28,0.37871630133534895,0.020571928608235264,0.03571428571428571,0.10714285714285714,0.023850966136657496
label_a_abs,7,price_relative_logit,1162,28,0.5821680524061477,0.22641068051755098,0.35714285714285715,0.39285714285714285,0.021173944009980766
label_a_abs,7,price_macro_logit,1162,28,0.6361174099269338,0.2174488519354052,0.35714285714285715,0.35714285714285715,0.021623970229229947
label_a_abs,8,naive_drawdown_baseline,1164,101,0.701214571127856,0.27080157239133024,0.37623762376237624,0.46534653465346537,0.10274837695380287
label_a_abs,8,naive_momentum_vol_baseline,1164,101,0.7810232575468271,0.38220789795898313,0.3564356435643564,0.5643564356435643,0.07001445610822829
label_a_abs,8,macro_only_logit,1164,101,0.531169956130138,0.10596659423926558,0.1188118811881188,0.19801980198019803,0.0799919041359728
label_a_abs,8,price_relative_logit,1164,101,0.7747827463837635,0.3792301371232277,0.36633663366336633,0.5544554455445545,0.0700203316044942
label_a_abs,8,price_macro_logit,1164,101,0.8013188901204326,0.4005618417369369,0.3564356435643564,0.5841584158415841,0.06544084774015617
label_a_abs,9,naive_drawdown_baseline,1182,219,0.7784925590392829,0.4698122628930872,0.3165137614678899,0.47706422018348627,0.13357570204059616
label_a_abs,9,naive_momentum_vol_baseline,1182,219,0.6966481268107181,0.32671505387330957,0.1780821917808219,0.3926940639269406,0.16912105319467555
label_a_abs,9,macro_only_logit,1182,219,0.5587751366780941,0.2202337235156095,0.1232876712328767,0.2511415525114155,0.17840323794270338
label_a_abs,9,price_relative_logit,1182,219,0.6954390057705895,0.3291947315972865,0.1872146118721461,0.3881278538812785,0.16898828761096515
label_a_abs,9,price_macro_logit,1182,219,0.7253161495896101,0.36616552318902007,0.2237442922374429,0.4474885844748858,0.168915168364188
