target,fold_id,model_name,metric,point_estimate,ci_method,ci_lower_95,ci_upper_95,n_bootstrap,n_obs,n_pos
label_a_abs,4,naive_momentum_vol_baseline,brier,0.027644631249973555,firm_year_block_bootstrap,0.007056104079793009,0.049808706872243765,150,1116,32
label_a_abs,4,macro_only_logit,AUROC,0.37935309040590404,firm_year_block_bootstrap,0.20402909865895824,0.4539116019279451,150,1116,32
label_a_abs,4,macro_only_logit,AUPRC,0.022113791692780882,firm_year_block_bootstrap,0.004648122789298649,0.04494851782755082,150,1116,32
label_a_abs,4,macro_only_logit,top_decile_capture,0.0625,firm_year_block_bootstrap,0.0,0.08669642857142859,150,1116,32
label_a_abs,4,macro_only_logit,top_quintile_capture,0.09375,firm_year_block_bootstrap,0.0,0.16655266757865947,150,1116,32
label_a_abs,4,macro_only_logit,brier,0.028130545089175008,firm_year_block_bootstrap,0.007071864754960137,0.0506320321703668,150,1116,32
label_a_abs,4,price_relative_logit,AUROC,0.7990083025830258,firm_year_block_bootstrap,0.6925666023855439,0.9356324998969087,150,1116,32
label_a_abs,4,price_relative_logit,AUPRC,0.08741714184449481,firm_year_block_bootstrap,0.02282206998010576,0.20865075785818102,150,1116,32
label_a_abs,4,price_relative_logit,top_decile_capture,0.4375,firm_year_block_bootstrap,0.0,0.8620535714285715,150,1116,32
label_a_abs,4,price_relative_logit,top_quintile_capture,0.46875,firm_year_block_bootstrap,0.13657142857142857,1.0,150,1116,32
label_a_abs,4,price_relative_logit,brier,0.027757994751173312,firm_year_block_bootstrap,0.007135417645636209,0.04989934648855142,150,1116,32
label_a_abs,4,price_macro_logit,AUROC,0.6589598708487084,firm_year_block_bootstrap,0.4430187737914992,0.8075908624101396,150,1116,32
label_a_abs,4,price_macro_logit,AUPRC,0.054435557163655654,firm_year_block_bootstrap,0.008887201890267619,0.11736441963446166,150,1116,32
label_a_abs,4,price_macro_logit,top_decile_capture,0.28125,firm_year_block_bootstrap,0.020714285714285716,0.5974165341812403,150,1116,32
label_a_abs,4,price_macro_logit,top_quintile_capture,0.46875,firm_year_block_bootstrap,0.08706293706293707,0.7647200772200774,150,1116,32
label_a_abs,4,price_macro_logit,brier,0.02883955742748783,firm_year_block_bootstrap,0.007202160075143518,0.05161761402832182,150,1116,32
label_a_abs,5,naive_drawdown_baseline,AUROC,0.6819287038944982,firm_year_block_bootstrap,0.5366809944290072,0.7963270171831738,150,1130,69
label_a_abs,5,naive_drawdown_baseline,AUPRC,0.16473935184745053,firm_year_block_bootstrap,0.053150845228063334,0.41364904787365064,150,1130,69
