target,comparison,split_or_fold,metric,main_model_point,baseline_point,point_difference,ci_method,ci_lower_95,ci_upper_95,ci_crosses_zero,n_bootstrap,n_obs,n_pos,interpretation
label_a_rel,price_macro_logit_minus_macro_only_logit,fixed_test_2024_plus,top_quintile_capture,0.3418181818181818,0.23636363636363636,0.10545454545454544,paired_firm_year_block_bootstrap,-0.01050747975072864,0.20612745098039215,1,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
label_a_rel,price_macro_logit_minus_macro_only_logit,fixed_test_2024_plus,brier,0.14870363522460472,0.1376958386708166,0.011007796553788113,paired_firm_year_block_bootstrap,-0.0037019344120671504,0.0283416200706306,1,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
label_a_rel,price_macro_logit_minus_naive_drawdown_baseline,fixed_test_2024_plus,AUROC,0.6570525426796163,0.5699607890450624,0.0870917536345539,paired_firm_year_block_bootstrap,0.049642003153275285,0.13273262687884455,0,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
label_a_rel,price_macro_logit_minus_naive_drawdown_baseline,fixed_test_2024_plus,AUPRC,0.264707948293788,0.21959474739443305,0.04511320089935497,paired_firm_year_block_bootstrap,0.01029045883208109,0.10655094258397341,0,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
label_a_rel,price_macro_logit_minus_naive_drawdown_baseline,fixed_test_2024_plus,top_decile_capture,0.2109090909090909,0.17454545454545456,0.03636363636363635,paired_firm_year_block_bootstrap,-0.011475630325413676,0.10387940841865748,1,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
label_a_rel,price_macro_logit_minus_naive_drawdown_baseline,fixed_test_2024_plus,top_quintile_capture,0.3418181818181818,0.2727272727272727,0.06909090909090909,paired_firm_year_block_bootstrap,-0.0036285001241294834,0.15308011375550423,1,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
label_a_rel,price_macro_logit_minus_naive_drawdown_baseline,fixed_test_2024_plus,brier,0.14870363522460472,0.17805907925270992,-0.029355444028105193,paired_firm_year_block_bootstrap,-0.04150886650533291,-0.01751126736646768,0,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
label_a_rel,price_macro_logit_minus_naive_momentum_vol_baseline,fixed_test_2024_plus,AUROC,0.6570525426796163,0.6449948724135851,0.012057670266031217,paired_firm_year_block_bootstrap,-0.0029507684252427615,0.024988901387092036,1,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
label_a_rel,price_macro_logit_minus_naive_momentum_vol_baseline,fixed_test_2024_plus,AUPRC,0.264707948293788,0.24217437419074336,0.022533574103044657,paired_firm_year_block_bootstrap,0.004739652714455723,0.05268347972618394,0,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
label_a_rel,price_macro_logit_minus_naive_momentum_vol_baseline,fixed_test_2024_plus,top_decile_capture,0.2109090909090909,0.18545454545454546,0.025454545454545452,paired_firm_year_block_bootstrap,-0.0017045454545454534,0.05264095766328296,1,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
label_a_rel,price_macro_logit_minus_naive_momentum_vol_baseline,fixed_test_2024_plus,top_quintile_capture,0.3418181818181818,0.32727272727272727,0.014545454545454528,paired_firm_year_block_bootstrap,-0.017212756404196998,0.05857238519030543,1,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
label_a_rel,price_macro_logit_minus_naive_momentum_vol_baseline,fixed_test_2024_plus,brier,0.14870363522460472,0.12900957307256483,0.019694062152039893,paired_firm_year_block_bootstrap,0.001555465821692738,0.03488527727352126,0,300,1782,275,incremental-over-momentum/macro comparison; paired on identical firm-month observations
