target,model_name,split_or_fold,metric,point_estimate,ci_method,ci_lower_95,ci_upper_95,n_bootstrap,n_obs,n_pos,notes
label_a_rel,naive_drawdown_baseline,fixed_test_2024_plus,top_decile_capture,0.17454545454545456,firm_year_block_bootstrap,0.08892198248905567,0.24302832244008704,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,naive_drawdown_baseline,fixed_test_2024_plus,top_quintile_capture,0.2727272727272727,firm_year_block_bootstrap,0.17137841205119494,0.36321301247771837,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,naive_drawdown_baseline,fixed_test_2024_plus,brier,0.17805907925270992,firm_year_block_bootstrap,0.15149362123113227,0.20526783977525348,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,naive_momentum_vol_baseline,fixed_test_2024_plus,AUROC,0.6449948724135851,firm_year_block_bootstrap,0.54315811270846,0.7238035832190353,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,naive_momentum_vol_baseline,fixed_test_2024_plus,AUPRC,0.24217437419074336,firm_year_block_bootstrap,0.15642148001352182,0.3442459205177129,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,naive_momentum_vol_baseline,fixed_test_2024_plus,top_decile_capture,0.18545454545454546,firm_year_block_bootstrap,0.09271368059710894,0.2739816647567454,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,naive_momentum_vol_baseline,fixed_test_2024_plus,top_quintile_capture,0.32727272727272727,firm_year_block_bootstrap,0.19962633451957296,0.43256692819069287,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,naive_momentum_vol_baseline,fixed_test_2024_plus,brier,0.12900957307256483,firm_year_block_bootstrap,0.10053254806954748,0.15580707021280635,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,macro_only_logit,fixed_test_2024_plus,AUROC,0.5617638897267299,firm_year_block_bootstrap,0.5009452943758255,0.6138368471087853,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,macro_only_logit,fixed_test_2024_plus,AUPRC,0.17650510290620086,firm_year_block_bootstrap,0.12391483684486776,0.23818064121751192,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,macro_only_logit,fixed_test_2024_plus,top_decile_capture,0.09454545454545454,firm_year_block_bootstrap,0.07131476004198073,0.12450903498654363,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,macro_only_logit,fixed_test_2024_plus,top_quintile_capture,0.23636363636363636,firm_year_block_bootstrap,0.18746468926553672,0.2735403256342295,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,macro_only_logit,fixed_test_2024_plus,brier,0.1376958386708166,firm_year_block_bootstrap,0.11849284840255836,0.15776630357494914,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,price_relative_logit,fixed_test_2024_plus,AUROC,0.6449683296133196,firm_year_block_bootstrap,0.5431363534716154,0.7238024572288612,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,price_relative_logit,fixed_test_2024_plus,AUPRC,0.2422021453578948,firm_year_block_bootstrap,0.15638570547360922,0.34435487424558414,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,price_relative_logit,fixed_test_2024_plus,top_decile_capture,0.18181818181818182,firm_year_block_bootstrap,0.09204178098937817,0.27472554539057,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,price_relative_logit,fixed_test_2024_plus,top_quintile_capture,0.3236363636363636,firm_year_block_bootstrap,0.19962633451957296,0.4338468384799938,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,price_relative_logit,fixed_test_2024_plus,brier,0.12901362179725748,firm_year_block_bootstrap,0.10053729836446208,0.1558116696057971,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,price_macro_logit,fixed_test_2024_plus,AUROC,0.6570525426796163,firm_year_block_bootstrap,0.5522071578354039,0.7363958682166108,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,price_macro_logit,fixed_test_2024_plus,AUPRC,0.264707948293788,firm_year_block_bootstrap,0.16835008237773166,0.37949550499883505,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,price_macro_logit,fixed_test_2024_plus,top_decile_capture,0.2109090909090909,firm_year_block_bootstrap,0.10546464646464647,0.2965962543554007,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,price_macro_logit,fixed_test_2024_plus,top_quintile_capture,0.3418181818181818,firm_year_block_bootstrap,0.21907036870503596,0.44682892652613615,300,1782,275,Formal model excludes placeholder financial features.
label_a_rel,price_macro_logit,fixed_test_2024_plus,brier,0.14870363522460472,firm_year_block_bootstrap,0.12734535081835066,0.16727564701491612,300,1782,275,Formal model excludes placeholder financial features.
