operating_point,thr,flags,TP,FP,FN,TN,recall,precision,fpr,flag_budget,recall_lo,recall_hi,fpr_lo,fpr_hi
top_10pct,0.16264032872348297,72,39,33,55,797,0.4148936170212766,0.5416666666666666,0.03975903614457831,0.07792207792207792,0.10809357744841616,0.6630149812734081,0.013494466571516107,0.07447028830416719
cost_opt_1:1,0.6555395933107185,1,1,0,93,830,0.010638297872340425,1.0,0.0,0.0010822510822510823,0.0,0.034482758620689655,0.0,0.0
cost_opt_2:1,0.2818922473293053,15,12,3,82,827,0.1276595744680851,0.8,0.0036144578313253013,0.016233766233766232,0.0,0.3572504302925989,0.0,0.009816554607263864
cost_opt_5:1,0.1639284120627805,70,38,32,56,798,0.40425531914893614,0.5428571428571428,0.03855421686746988,0.07575757575757576,0.09849162542824515,0.6536342123056119,0.013396670726755988,0.0716868770112236
cost_opt_10:1,0.0450704198472234,558,83,475,11,355,0.8829787234042553,0.14874551971326164,0.572289156626506,0.6038961038961039,0.7186383928571428,0.9859203834115806,0.47732275623809395,0.665476974855759
cost_opt_20:1,0.04365439365764482,573,85,488,9,342,0.9042553191489362,0.14834205933682373,0.5879518072289157,0.6201298701298701,0.7567153888582461,0.9859203834115806,0.4924580018359853,0.681115107913669
