slice,n_rows,n_firms,n_events,event_rate,AUROC,AUROC_lo,AUROC_hi
Defensive,360,10,2,0.005555555555555556,0.8854748603351955,0.7283825367937964,0.9721448467966574
Distressed,216,6,72,0.3333333333333333,0.8045910493827161,0.5455102244411817,0.9211091234347049
Commodity-sensitive,180,5,25,0.1388888888888889,0.7716129032258066,0.5838683127572016,0.9129273504273504
Rate-sensitive,180,5,4,0.022222222222222223,0.6903409090909091,0.4901785714285714,0.7997159090909091
Stable,1260,35,64,0.050793650793650794,0.5086878135451505,0.3748653497596113,0.641879314376717
Growth,252,7,105,0.4166666666666667,0.3823129251700681,0.2595612834883351,0.4565762038183358
Cyclical,324,9,42,0.12962962962962962,0.34709557581898,0.1703217382229765,0.4571449157086609
