archetype,n_events,n_rows,flagbudget_global,recall_global,flagbudget_slicerel,recall_slicerel,recall_gain
Growth,105,252,0.3968253968253968,0.3238095238095238,0.10317460317460317,0.06666666666666667,-0.2571428571428572
Distressed,72,216,0.38425925925925924,0.6944444444444444,0.10185185185185185,0.25,-0.4444444444444444
Stable,64,1260,0.03571428571428571,0.0,0.1,0.015625,0.015625
Cyclical,42,324,0.033950617283950615,0.0,0.10185185185185185,0.023809523809523808,0.023809523809523808
Commodity-sensitive,25,180,0.12777777777777777,0.32,0.1,0.28,-0.03999999999999998
Rate-sensitive,4,180,0.03888888888888889,0.0,0.1,0.0,0.0
Defensive,2,360,0.025,0.0,0.1,0.5,0.5
