feature,coef,std_err,p_value
const,-6.619563628418453,,
leverage,0.28223827738551954,,
liquidity_buffer,1.7053347903335065,,
wc_ratio,-0.5743978709915117,,
wc_ratio_missing,0.6419128189192893,,
profitability,-5.252118312649187,,
ret_1m,-1.213201645681725,,
ret_3m,0.35659511847369235,,
ret_6m,-0.013075814853116088,,
vol_3m,-0.9022724415501587,,
vol_6m,3.2096655242991616,,
drawdown_12m,0.7554938160361067,,
late_filing,0.007478231739528978,,
vix,-0.050336612603107074,,
term_spread,0.10908908394319995,,
credit_spread,0.9044110572173354,,
ind_Aerospace,2.2126685678715154,,
ind_Airlines,2.2706464238130057,,
ind_Auto,1.7572816763530705,,
ind_Chemicals,-0.29742001040822424,,
ind_Communication,-3.10297195148498,,
ind_Consumer,-3.880474547861135,,
ind_Energy,3.005302388939446,,
ind_Fintech,-2.173563708141883,,
ind_Healthcare,-6.115594666381993,,
ind_Industrial,2.87918463580642,,
ind_Industrials,-4.982444448397418,,
ind_Logistics,-3.7004435460835032,,
ind_Materials,3.117563214526294,,
ind_Media,2.3159167096574014,,
ind_Platform,-0.4766921343995295,,
ind_Real Estate,1.0023954923819023,,
ind_Retail,2.226986433870739,,
ind_Semiconductors,3.206799718702701,,
ind_Software,-3.193220287467275,,
ind_Staples,1.2607377514183367,,
ind_Technology,-0.7722517740526439,,
ind_Telecom,-3.1799695670780155,,
yr_2010,0.13059926744312195,,
yr_2011,0.19706676389402528,,
yr_2012,-2.1747908046350166,,
yr_2013,-1.8716932408866913,,
yr_2014,-0.1976430194110447,,
yr_2015,-0.2227425181217954,,
yr_2016,-2.585671716222082,,
yr_2017,-0.7720463982566153,,
yr_2018,0.8175638082278225,,
yr_2019,1.7702644604643436,,
yr_2020,-1.7104702309159154,,
