slice,n_rows,n_events,n_flags,TP,FP,FN,TN,precision,recall
Distressed,216,72,83,50,33,22,111,0.6024096385542169,0.6944444444444444
Growth,252,105,100,34,66,71,81,0.34,0.3238095238095238
Commodity-sensitive,180,25,23,8,15,17,140,0.34782608695652173,0.32
Cyclical,324,42,11,0,11,42,271,0.0,0.0
Defensive,360,2,9,0,9,2,349,0.0,0.0
Rate-sensitive,180,4,7,0,7,4,169,0.0,0.0
Stable,1260,64,45,0,45,64,1151,0.0,0.0
