cost_ratio_fn_fp,c_fn,thr,val_flag_budget,val_cost,test_recall,test_fpr,test_precision,test_flag_budget,test_FP,test_FN
1:1,1,0.6555395933107185,0.0,314,0.010638297872340425,0.0,1.0,0.0010822510822510823,0,93
2:1,2,0.2818922473293053,0.0284992784992785,602,0.1276595744680851,0.0036144578313253013,0.8,0.016233766233766232,3,82
5:1,5,0.1639284120627805,0.09704184704184704,1287,0.40425531914893614,0.03855421686746988,0.5428571428571428,0.07575757575757576,32,56
10:1,10,0.0450704198472234,0.6724386724386724,1902,0.8829787234042553,0.572289156626506,0.14874551971326164,0.6038961038961039,475,11
20:1,20,0.04365439365764482,0.6865079365079365,2198,0.9042553191489362,0.5879518072289157,0.14834205933682373,0.6201298701298701,488,9
