feature,coef,std_err,p_value
const,-1.195575156487003,0.4128626952415697,0.0037817185453787616
leverage,-0.12339158434837258,0.19001860932726888,0.5161019706769169
liquidity_buffer,1.8297542948477645,0.4391993453261412,3.098365702162545e-05
wc_ratio,-0.7647290522161677,0.2951587466650419,0.00957231776067919
wc_ratio_missing,0.20248049454705105,0.15419956445469662,0.18914696740006753
profitability,-2.6219721511034275,0.8592409041845838,0.0022770234432690365
ret_1m,-1.2794752694385112,0.4390898838366613,0.003569149148314971
ret_3m,-0.09701162190908627,0.23236832568361032,0.6763195034117937
ret_6m,-0.1623665309137757,0.10403266645612001,0.1185883151689973
vol_3m,2.703859026287577,0.540400561015845,5.631769071659039e-07
vol_6m,-0.9113920605942176,0.6083245238335167,0.13408118507316696
drawdown_12m,2.1963818527575003,0.448452381667859,9.696863697366567e-07
late_filing,0.1027341889049277,0.0913881624005385,0.26094853286008113
vix,-0.06111342467414034,0.00903994031571328,1.3763102155679783e-11
term_spread,-0.4528119676190811,0.07501265166679992,1.5751751696785325e-09
credit_spread,-0.5256749815242762,0.15855646042475902,0.0009151849270281308
log_duration,0.05024310130105496,0.051435249572300064,0.32865710977586093
