feature,coef,std_err,p_value
const,-0.986192491133521,0.35225518612271356,0.005115747542380136
leverage,-0.1059335571415872,0.1890586439337629,0.5752604024071475
liquidity_buffer,1.8014663996627018,0.43628550027769714,3.6418620876838145e-05
wc_ratio,-0.7936865531936645,0.29320326248081535,0.006790449633363309
wc_ratio_missing,0.19656944254959002,0.15402290394974347,0.20187240982616206
profitability,-2.577474829652373,0.855986301451268,0.0026028861203813056
ret_1m,-1.2772365170618576,0.43883576484962067,0.003608377483717426
ret_3m,-0.0961994039863842,0.23234583085351407,0.6788481659744509
ret_6m,-0.16224162757438756,0.10417144190127717,0.11936410337611365
vol_3m,2.6853961886371627,0.5395675274505262,6.459672932778771e-07
vol_6m,-0.9064316719298451,0.6078560372768682,0.13591039738561006
drawdown_12m,2.2102275701350456,0.4481472928894974,8.142436082080527e-07
late_filing,0.09995350177077943,0.09135222209759744,0.27388695005398633
vix,-0.061294182272189364,0.009045126299014454,1.231329943985301e-11
term_spread,-0.4848831652130766,0.06762383197980985,7.483357435312653e-13
credit_spread,-0.5167057770823447,0.15811270951659534,0.0010832623846913328
