ticker,date,ret_1m,ret_3m,ret_6m,vol_3m,vol_6m,drawdown_12m,leverage,liquidity_buffer,wc_ratio,profitability,z_score,late_filing,vix,term_spread,credit_spread,label_a,forward_max_drawdown,industry,year,month,firm_name,sector_raw,archetype,wc_ratio_missing,ret_1m_rel,ret_3m_rel,ret_6m_rel,vol_3m_rel,vol_6m_rel,drawdown_12m_rel
AAL,2010-05-31,0.24893921848929823,0.14974001098926348,1.5446693320449802,0.7088727689521729,0.7067143348887704,0.4640882153520362,1.0,0.006014623791178552,-0.042692035537385015,-0.05770893938202689,-0.6642791099929239,1,13.90036829620625,1.6854924863517164,1.9652728634419567,0,-0.2697201334381254,Airlines,2010,5,American Airlines,Airline,Distressed,0,1.2213718686300938,0.9718263088478035,0.6752823751740941,1.0472103705194766,0.846171574099038,1.0552464954995777
AAL,2010-06-30,-0.08792364242659412,0.1635134235486353,0.7679674552381257,0.8054360856769154,0.6927854920252735,0.4640882153520362,1.0,0.007610585281050802,-0.07784431137724551,-0.0004249565385358316,-0.4920258450840255,1,16.008537747690433,1.637644542220457,1.8240927313981896,0,-0.2697201334381254,Airlines,2010,6,American Airlines,Airline,Distressed,0,0.41351118398827974,1.1491464849724038,1.0549130672269764,1.1265762700439337,0.9061715498943133,1.3300034437494435
AAL,2010-07-31,0.2543352188797423,0.4682003334300213,0.937499932259138,0.7759329155857078,0.704078407287653,0.4640882153520362,1.0,0.007610585281050802,-0.07784431137724551,-0.0004249565385358316,-0.4920258450840255,0,16.850881971421874,1.338926696386877,1.6544661011758786,1,-0.47073790802790955,Airlines,2010,7,American Airlines,Airline,Distressed,0,1.260629709240766,1.4374802094804315,0.9335220952231715,1.0890002837001191,0.9217899408782139,1.3948685774112823
AAL,2010-08-31,-0.15197029815342789,-0.01845840321241876,0.2349724820063228,0.6444321741608147,0.6868101786863599,0.4640882153520362,1.0,0.007610585281050802,-0.07784431137724551,-0.0004249565385358316,-0.4920258450840255,0,14.827300618734697,1.6147611724810116,2.0677178101999605,1,-0.5258693813042479,Airlines,2010,8,American Airlines,Airline,Distressed,0,-1.0386383210599828,0.8561905031165826,1.0003709834351135,1.1701161990088484,1.06304750439846,1.3284608372850235
AAL,2010-09-30,-0.0324269666297935,0.1294260373546039,0.29733505243313507,0.5786288037542751,0.6986230974675072,0.35619436495648565,1.0,0.007966242063335568,-0.08289624166896715,-0.01470994202784241,-0.5530751666206569,0,15.96450851656354,1.9784730531875452,2.0825824320617556,1,-0.533502991032052,Airlines,2010,9,American Airlines,Airline,Distressed,0,-1.4057138297390124,-0.40768786642750915,0.9723893872946411,1.1343545813227072,1.1382148918231156,1.0487578460963163
AAL,2010-10-31,0.2691068261788703,0.10600357038606578,0.7186588378506813,0.47699495953874643,0.641525765743975,0.2476723620943595,1.0,0.007966242063335568,-0.08289624166896715,-0.01470994202784241,-0.5530751666206569,0,18.93620801781204,1.9476286676995906,1.7411829353677502,1,-0.533502991032052,Airlines,2010,10,American Airlines,Airline,Distressed,0,1.2201467943947064,-0.8599542278875487,1.2213840759115566,0.8807942664076706,1.0623697159227128,-0.4264752711324006
AAL,2010-11-30,-0.04288155900447066,0.16736392066118633,0.21172646200190526,0.4370196117155474,0.5491304847910402,0.2476723620943595,1.0,0.007966242063335568,-0.08289624166896715,-0.01470994202784241,-0.5530751666206569,0,12.88363536938514,1.8487424450245862,1.8403874529517874,1,-0.5770610175086927,Airlines,2010,11,American Airlines,Airline,Distressed,0,-0.8343391459467598,-0.7863623131391956,0.6987325214293789,0.9054615098870847,1.1149900446070382,-0.4264752711324006
AAL,2010-12-31,-0.09900986402805223,0.09758748565933906,0.23886111970627666,0.40772830164237156,0.492378445639447,0.2476723620943595,1.0,0.006696428571428571,-0.07740752551020408,-0.003866390306122449,-0.5167491629464286,0,16.08904969090999,1.7138631938848699,2.178141278258634,1,-0.5284715061093997,Airlines,2010,12,American Airlines,Airline,Distressed,0,-0.23112793329742146,0.8776980536373061,0.33776091376455186,0.7629776249977691,1.0725967502640505,-0.4264752711324006
AAL,2011-01-31,-0.00899068279670534,-0.14922798497006418,-0.0694184058981594,0.4476115479785763,0.4620256713719268,0.2476723620943595,1.0,0.006696428571428571,-0.07740752551020408,-0.003866390306122449,-0.5167491629464286,0,21.264658545943327,1.7991288274066939,2.2138785339411475,1,-0.5241936824355089,Airlines,2011,1,American Airlines,Airline,Distressed,0,0.24025595954824266,-0.5564845994599181,-0.8582235082926991,1.0211759814220476,0.9705711645641095,-0.4264752711324006
AAL,2011-02-28,-0.15255915576271184,-0.23670225550208213,-0.02931213792208376,0.4782090968870499,0.46062856455018386,0.30157419383821027,1.0,0.006696428571428571,-0.07740752551020408,-0.003866390306122449,-0.5167491629464286,1,13.681873857258426,1.6589725335586436,2.0628543989013735,1,-0.4813189240481071,Airlines,2011,2,American Airlines,Airline,Distressed,0,-1.3588857361564375,-1.1309980451853832,-1.3103729151664594,0.9247265251923528,0.9522386741986271,0.47834965056456064
